date;opening;max;min;close;nominalCount
2015-10-21 17:00:12;5,17;5,26;5,16;5,22;494.473,00;
2015-10-20 17:00:39;5,19;5,23;5,13;5,17;609.625,00;
2015-10-19 16:55:54;4,97;5,19;4,95;5,13;405.084,00;
2015-10-16 16:58:58;4,95;5,00;4,89;4,97;538.623,00;
2015-10-15 16:56:13;5,10;5,10;4,92;4,93;201.304,00;
2015-10-14 16:56:45;5,00;5,08;4,91;4,91;146.671,00;
2015-10-13 16:26:16;4,90;5,05;4,87;5,00;291.716,00;
2015-10-09 16:58:26;5,06;5,06;4,83;4,85;291.802,00;
2015-10-08 16:59:50;5,10;5,10;4,90;4,94;233.463,00;
2015-10-07 16:53:28;4,99;5,16;4,95;5,00;253.109,00;
2015-10-06 16:57:24;5,05;5,08;4,95;4,99;323.559,00;
2015-10-05 16:53:03;5,25;5,26;4,99;5,04;197.145,00;
2015-10-02 16:57:27;5,10;5,19;5,10;5,10;193.795,00;
2015-10-01 16:52:32;5,30;5,35;5,10;5,15;553.184,00;
2015-09-30 16:58:34;5,40;5,41;5,25;5,29;497.030,00;
2015-09-29 16:50:57;5,06;5,36;5,06;5,30;900.201,00;
2015-09-28 16:57:49;5,16;5,16;4,90;5,10;121.679,00;
2015-09-25 16:59:43;4,90;5,16;4,75;5,15;595.312,00;
2015-09-24 17:00:29;4,70;4,78;4,30;4,64;334.454,00;
2015-09-23 17:02:14;4,84;4,90;4,70;4,76;239.241,00;
2015-09-22 16:58:47;4,98;4,98;4,60;4,80;463.067,00;
2015-09-21 16:57:05;5,11;5,20;5,00;5,01;187.714,00;
2015-09-18 16:59:37;5,25;5,35;5,10;5,11;448.438,00;
2015-09-17 16:59:09;5,00;5,31;5,00;5,23;376.686,00;
2015-09-16 17:00:50;5,20;5,23;5,00;5,00;110.567,00;
2015-09-15 16:51:32;5,15;5,26;5,10;5,13;161.045,00;
2015-09-14 16:55:19;5,20;5,27;5,13;5,17;55.227,00;
2015-09-11 16:59:36;5,49;5,49;5,17;5,27;444.376,00;
2015-09-10 16:56:29;5,33;5,48;5,15;5,48;1.156.012,00;
2015-09-09 16:57:59;5,30;5,34;5,20;5,33;409.108,00;
2015-09-08 17:00:37;5,10;5,25;5,10;5,15;179.916,00;
2015-09-07 16:50:36;5,00;5,07;5,00;5,02;145.106,00;
2015-09-04 16:54:05;4,90;5,00;4,81;5,00;132.376,00;
2015-09-03 16:56:38;4,95;5,08;4,92;4,92;214.800,00;
2015-09-02 16:51:02;4,95;5,00;4,86;4,90;137.969,00;
2015-09-01 16:57:03;5,05;5,05;4,95;4,95;147.197,00;
2015-08-31 17:00:07;5,11;5,20;4,90;5,05;225.904,00;
2015-08-28 16:59:34;4,90;5,18;4,90;5,11;497.911,00;
2015-08-27 16:55:47;4,80;4,89;4,65;4,89;996.216,00;
2015-08-26 16:54:22;4,20;4,45;4,20;4,45;296.941,00;
2015-08-25 16:59:03;4,36;4,54;4,15;4,15;514.047,00;
2015-08-24 16:58:22;4,37;4,54;4,23;4,28;918.837,00;
2015-08-21 16:59:19;4,83;4,90;4,50;4,70;563.355,00;
2015-08-20 16:56:42;5,01;5,02;4,93;4,93;168.307,00;
2015-08-19 16:59:11;5,15;5,25;4,90;5,07;274.509,00;
2015-08-18 17:00:52;5,25;5,32;5,15;5,15;155.129,00;
2015-08-14 16:44:35;5,36;5,37;5,30;5,30;46.744,00;
2015-08-13 16:34:43;5,44;5,44;5,31;5,37;134.691,00;
2015-08-12 16:59:29;5,36;5,39;5,20;5,38;223.688,00;
2015-08-11 16:55:05;5,48;5,48;5,32;5,37;204.609,00;
2015-08-10 16:58:52;5,27;5,60;5,27;5,52;610.878,00;
2015-08-07 16:59:59;5,26;5,35;5,12;5,23;583.941,00;
2015-08-06 16:59:59;5,05;5,26;5,05;5,24;483.697,00;
2015-08-05 16:59:53;5,00;5,13;4,90;5,05;259.994,00;
2015-08-04 17:01:09;5,23;5,25;4,95;5,00;222.127,00;
2015-08-03 16:54:39;5,50;5,50;5,18;5,19;169.830,00;
2015-07-31 17:00:07;5,41;5,41;5,30;5,35;123.980,00;
2015-07-30 16:59:41;5,45;5,45;5,20;5,40;116.982,00;
2015-07-29 17:01:41;5,15;5,45;5,13;5,40;342.987,00;
2015-07-28 16:59:30;4,98;5,18;4,98;5,09;219.118,00;
2015-07-27 16:59:37;4,99;5,08;4,78;4,95;392.343,00;
2015-07-24 16:58:57;5,38;5,38;4,90;5,00;342.661,00;
2015-07-23 16:57:37;5,42;5,46;5,28;5,42;177.443,00;
2015-07-22 16:59:30;5,60;5,60;5,38;5,38;337.551,00;
2015-07-21 16:59:01;5,55;5,72;5,38;5,50;476.647,00;
2015-07-20 17:00:05;5,90;5,90;5,58;5,58;404.529,00;
2015-07-17 16:59:54;5,75;6,00;5,60;5,88;534.400,00;
2015-07-16 17:00:47;5,99;5,99;5,65;5,70;726.418,00;
2015-07-15 16:59:11;5,53;5,75;5,53;5,72;707.229,00;
2015-07-14 17:00:40;5,50;5,55;5,43;5,53;661.917,00;
2015-07-13 16:57:31;5,40;5,50;5,30;5,47;232.001,00;
2015-07-10 16:58:47;5,55;5,55;5,35;5,35;265.149,00;
2015-07-08 16:59:45;5,54;5,55;5,32;5,39;327.600,00;
2015-07-07 17:00:05;5,40;5,55;5,10;5,54;401.532,00;
2015-07-06 16:59:56;5,10;5,34;5,02;5,34;492.489,00;
2015-07-03 16:59:58;4,95;5,12;4,95;5,07;507.539,00;
2015-07-02 17:01:47;4,80;4,93;4,70;4,92;327.443,00;
2015-07-01 16:51:38;4,62;4,90;4,62;4,75;479.097,00;
2015-06-30 16:59:51;4,59;4,69;4,52;4,66;449.645,00;
2015-06-29 16:59:54;4,62;4,62;4,50;4,52;393.903,00;
2015-06-26 16:57:03;4,70;4,79;4,65;4,76;112.741,00;
2015-06-25 16:59:49;4,66;4,67;4,55;4,65;220.192,00;
2015-06-24 16:53:42;4,74;4,85;4,62;4,67;138.120,00;
2015-06-23 17:00:04;4,87;4,95;4,74;4,74;228.203,00;
2015-06-22 16:59:59;4,80;4,86;4,70;4,86;560.016,00;
2015-06-19 16:57:46;4,55;4,80;4,55;4,63;285.594,00;
2015-06-18 16:55:58;4,70;4,80;4,50;4,52;334.391,00;
2015-06-17 16:59:47;4,88;4,88;4,60;4,72;584.903,00;
2015-06-16 16:56:43;5,07;5,10;4,93;4,98;103.897,00;
2015-06-15 16:58:59;5,15;5,18;5,02;5,07;118.522,00;
2015-06-12 16:56:04;5,27;5,34;5,20;5,34;51.205,00;
2015-06-11 16:59:43;5,36;5,37;5,29;5,35;123.792,00;
2015-06-10 17:00:37;5,43;5,43;5,33;5,36;265.587,00;
2015-06-09 16:59:58;5,25;5,38;5,19;5,30;139.831,00;
2015-06-08 16:38:45;5,38;5,38;5,17;5,25;151.527,00;
2015-06-05 17:00:21;5,26;5,35;5,13;5,28;174.589,00;
2015-06-04 16:59:52;5,20;5,29;5,11;5,23;437.325,00;
2015-06-03 16:59:24;5,10;5,10;4,94;5,04;476.982,00;
2015-06-02 16:58:45;4,80;5,15;4,80;5,10;850.376,00;
2015-06-01 16:59:16;4,81;4,81;4,67;4,79;95.185,00;
2015-05-29 16:59:59;4,85;4,90;4,79;4,81;212.608,00;
2015-05-28 17:00:47;4,84;4,88;4,75;4,80;145.186,00;
2015-05-27 17:00:00;4,73;4,85;4,71;4,76;230.938,00;
2015-05-26 16:59:55;5,00;5,00;4,74;4,74;292.240,00;
2015-05-22 16:58:56;5,15;5,15;5,00;5,13;297.349,00;
2015-05-21 16:59:35;5,35;5,40;5,10;5,27;273.196,00;
2015-05-20 16:55:40;5,45;5,45;5,35;5,40;286.724,00;
2015-05-19 17:00:15;5,41;5,55;5,29;5,55;467.465,00;
2015-05-18 16:58:55;5,75;5,75;5,50;5,55;235.149,00;
2015-05-15 16:57:40;5,46;5,69;5,46;5,69;290.977,00;
2015-05-14 16:53:29;5,40;5,47;5,35;5,47;379.577,00;
2015-05-13 16:56:44;5,39;5,54;5,37;5,39;652.774,00;
2015-05-12 16:57:15;5,40;5,47;5,28;5,39;354.657,00;
2015-05-11 16:54:07;5,40;5,45;5,34;5,45;245.034,00;
2015-05-08 16:57:34;5,45;5,55;5,41;5,45;296.131,00;
2015-05-07 16:59:17;5,42;5,50;5,35;5,40;278.495,00;
2015-05-06 16:59:14;5,70;5,70;5,45;5,57;140.642,00;
2015-05-05 17:00:16;5,76;5,78;5,65;5,67;350.794,00;
2015-05-04 16:52:46;5,62;5,75;5,62;5,70;315.811,00;
2015-04-30 17:01:12;5,96;5,96;5,40;5,62;310.331,00;
2015-04-29 16:57:03;5,65;5,72;5,62;5,70;297.245,00;
2015-04-28 16:58:51;5,78;5,78;5,65;5,75;425.263,00;
2015-04-27 16:55:23;5,98;5,98;5,65;5,78;312.136,00;
2015-04-24 16:59:00;5,78;5,95;5,78;5,85;494.087,00;
2015-04-23 16:57:39;5,45;5,80;5,45;5,72;471.367,00;
2015-04-22 16:58:05;5,50;5,59;5,45;5,52;302.027,00;
2015-04-21 17:00:01;5,61;5,61;5,45;5,48;458.728,00;
2015-04-20 17:00:00;5,95;5,95;5,60;5,63;246.024,00;
2015-04-17 17:00:15;5,90;5,99;5,83;5,88;466.926,00;
2015-04-16 16:59:59;5,95;6,02;5,81;6,01;511.693,00;
2015-04-15 16:59:26;6,01;6,01;5,70;5,97;805.097,00;
